rho,z,V,E_magnitud,epsilon,capa
0.00000000,-2.00000000,0.00000000,0.05518650,3.00000000,0
0.00000000,-1.98000000,0.00052355,0.05518650,3.00000000,0
0.00000000,-1.96000000,0.00104691,0.06290258,3.00000000,0
0.00000000,-1.94000000,0.00156985,0.07398471,3.00000000,0
0.00000000,-1.92000000,0.00209217,0.08714413,3.00000000,0
0.00000000,-1.90000000,0.00261364,0.10155925,3.00000000,0
0.00000000,-1.88000000,0.00313401,0.11674582,3.00000000,0
0.00000000,-1.86000000,0.00365303,0.13241613,3.00000000,0
0.00000000,-1.84000000,0.00417040,0.14839212,3.00000000,0
0.00000000,-1.82000000,0.00468582,0.16455751,3.00000000,0
0.00000000,-1.80000000,0.00519894,0.18083176,3.00000000,0
0.00000000,-1.78000000,0.00570938,0.19715554,3.00000000,0
0.00000000,-1.76000000,0.00621672,0.21348230,3.00000000,0
0.00000000,-1.74000000,0.00672048,0.22977316,3.00000000,0
0.00000000,-1.72000000,0.00722016,0.24599370,3.00000000,0
0.00000000,-1.70000000,0.00771515,0.26211185,3.00000000,0
0.00000000,-1.68000000,0.00820482,0.27809641,3.00000000,0
0.00000000,-1.66000000,0.00868845,0.29391596,3.00000000,0
0.00000000,-1.64000000,0.00916523,0.30953810,3.00000000,0
0.00000000,-1.62000000,0.00963428,0.32492873,3.00000000,0
0.00000000,-1.60000000,0.01009461,0.34005151,3.00000000,0
0.00000000,-1.58000000,0.01054513,0.35486740,3.00000000,0
0.00000000,-1.56000000,0.01098465,0.36933415,3.00000000,0
0.00000000,-1.54000000,0.01141182,0.38340595,3.00000000,0
0.00000000,-1.52000000,0.01182518,0.39703297,3.00000000,0
0.00000000,-1.50000000,0.01222314,0.41016104,3.00000000,0
0.00000000,-1.48000000,0.01260393,0.42273128,3.00000000,0
0.00000000,-1.46000000,0.01296562,0.43467977,3.00000000,0
0.00000000,-1.44000000,0.01330614,0.44593729,3.00000000,0
0.00000000,-1.42000000,0.01362319,0.45642913,3.00000000,0
0.00000000,-1.40000000,0.01391435,0.46607495,3.00000000,0
0.00000000,-1.38000000,0.01417697,0.47478878,3.00000000,0
0.00000000,-1.36000000,0.01440824,0.48247923,3.00000000,0
0.00000000,-1.34000000,0.01460521,0.48904986,3.00000000,0
0.00000000,-1.32000000,0.01476476,0.49439990,3.00000000,0
0.00000000,-1.30000000,0.01488368,0.49842533,3.00000000,0
0.00000000,-1.28000000,0.01495872,0.50102045,3.00000000,0
0.00000000,-1.26000000,0.01498665,0.50208013,3.00000000,0
0.00000000,-1.24000000,0.01496439,0.50150278,3.00000000,0
0.00000000,-1.22000000,0.01488915,0.49919434,3.00000000,0
0.00000000,-1.20000000,0.01475861,0.49507341,3.00000000,0
0.00000000,-1.18000000,0.01457122,0.48907777,3.00000000,0
0.00000000,-1.16000000,0.01432650,0.48117266,3.00000000,0
0.00000000,-1.14000000,0.01402551,0.47136089,3.00000000,0
0.00000000,-1.12000000,0.01367133,0.45969559,3.00000000,0
0.00000000,-1.10000000,0.01326977,0.44629605,3.00000000,0
0.00000000,-1.08000000,0.01283011,0.43136831,3.00000000,0
0.00000000,-1.06000000,0.01236604,0.41523325,3.00000000,0
0.00000000,-1.04000000,0.01189666,0.39836752,3.00000000,0
0.00000000,-1.02000000,0.01144751,0.38146636,3.00000000,0
0.00000000,-1.00000000,0.01105163,0.36554173,3.00000000,0
0.00000000,-0.98000000,0.01075032,0.35206780,3.00000000,0
0.00000000,-0.96000000,0.01059365,0.34316519,3.00000000,0
0.00000000,-0.94000000,0.01064023,0.34174957,3.00000000,0
0.00000000,-0.92000000,0.01095620,0.35146441,3.00000000,0
0.00000000,-0.90000000,0.01161309,0.37620244,3.00000000,0
0.00000000,-0.88000000,0.01268460,0.41931117,3.00000000,0
0.00000000,-0.86000000,0.01424230,0.48298767,3.00000000,0
0.00000000,-0.84000000,0.01635071,0.56824281,3.00000000,0
0.00000000,-0.82000000,0.01906229,0.67524201,3.00000000,0
0.00000000,-0.80000000,0.02241310,0.80363204,3.00000000,0
0.00000000,-0.78000000,0.02641988,0.95270459,3.00000000,0
0.00000000,-0.76000000,0.03107904,1.12145250,3.00000000,0
0.00000000,-0.74000000,0.03636774,1.30860301,3.00000000,0
0.00000000,-0.72000000,0.04224697,1.51267082,3.00000000,0
0.00000000,-0.70000000,0.04866600,1.73203813,3.00000000,0
0.00000000,-0.68000000,0.05556762,1.96505175,3.00000000,0
0.00000000,-0.66000000,0.06289341,2.21012375,3.00000000,0
0.00000000,-0.64000000,0.07058883,2.46582547,3.00000000,0
0.00000000,-0.62000000,0.07860809,2.73096785,3.00000000,0
0.00000000,-0.60000000,0.08692083,3.00465098,3.00000000,0
0.00000000,-0.58000000,0.09552821,3.28616129,3.00000000,0
0.00000000,-0.56000000,0.10452390,3.57393901,3.00000000,0
0.00000000,-0.54000000,0.11438328,3.85889783,3.00000000,0
0.00000000,-0.52000000,0.12750115,4.08351266,3.00000000,0
0.00000000,-0.50000000,0.15692499,3.82127661,8.00000001,1
0.00000000,-0.48000000,0.14017431,4.38257762,8.00000001,1
0.00000000,-0.46000000,0.13972763,4.59425799,8.00000001,1
0.00000000,-0.44000000,0.14253379,4.73819984,8.00000001,1
0.00000000,-0.42000000,0.14619080,4.87374874,8.00000001,1
0.00000000,-0.40000000,0.15021118,5.01252361,8.00000001,1
0.00000000,-0.38000000,0.15448298,5.15710059,8.00000001,1
0.00000000,-0.36000000,0.15898000,5.30828398,8.00000001,1
