iteration,max_update,max_residual
0,4.19211543e-01,3.39548474e+03
1,2.34434482e-01,2.06666495e+03
2,1.42770751e-01,1.35511247e+03
3,9.10643829e-02,9.22911137e+02
4,6.19375029e-02,6.47465186e+02
5,4.43663943e-02,4.97334087e+02
6,3.29627218e-02,3.90603773e+02
7,2.55234787e-02,3.07855574e+02
8,1.99008714e-02,2.42501709e+02
9,1.56221686e-02,1.90370696e+02
10,1.29381251e-02,1.53123631e+02
11,1.07433236e-02,1.29548159e+02
12,8.88257395e-03,1.08397760e+02
13,7.30257838e-03,8.96965401e+01
14,6.04383953e-03,7.33991300e+01
15,5.15712808e-03,6.12059824e+01
16,4.40715798e-03,5.31400696e+01
17,3.73613517e-03,4.55179925e+01
18,3.17436330e-03,3.84842758e+01
19,2.69867845e-03,3.21297618e+01
20,2.34582903e-03,2.77027273e+01
21,2.02656645e-03,2.42828529e+01
22,1.75546767e-03,2.10098809e+01
23,1.56016338e-03,1.79415338e+01
24,1.45919209e-03,1.51398428e+01
25,1.36791696e-03,1.34219582e+01
26,1.28530826e-03,1.25813760e+01
27,1.20955925e-03,1.18288506e+01
28,1.14033620e-03,1.11340880e+01
29,1.07505520e-03,1.10727569e+01
30,1.01488518e-03,1.06154248e+01
31,9.60795366e-04,1.06814738e+01
32,9.12342448e-04,1.11456343e+01
33,8.68167610e-04,1.15223545e+01
34,8.27618301e-04,1.18541057e+01
35,7.89766309e-04,1.21617460e+01
36,7.54456600e-04,1.24500928e+01
37,7.21434887e-04,1.27204967e+01
38,6.90643281e-04,1.29748242e+01
39,6.61820050e-04,1.32138227e+01
40,6.34876081e-04,1.34392891e+01
41,6.09977980e-04,1.36517367e+01
42,5.86731634e-04,1.38526654e+01
43,5.64829693e-04,1.40425369e+01
44,5.44173417e-04,1.42224828e+01
45,5.24664791e-04,1.43930047e+01
46,5.06221938e-04,1.45549035e+01
47,4.88765022e-04,1.47087181e+01
48,4.72225780e-04,1.48550049e+01
49,4.56538514e-04,1.49943014e+01
50,4.41675278e-04,1.51270057e+01
51,4.27610979e-04,1.52536171e+01
52,4.14226669e-04,1.53744393e+01
53,4.01483284e-04,1.54899127e+01
54,3.89430523e-04,1.56002867e+01
55,3.78001085e-04,1.57059366e+01
56,3.67083861e-04,1.58070791e+01
57,3.56648401e-04,1.59040288e+01
58,3.46666272e-04,1.59969793e+01
59,3.37111310e-04,1.60861927e+01
60,3.27959090e-04,1.61718444e+01
61,3.19187031e-04,1.62541532e+01
62,3.10810466e-04,1.63332778e+01
63,3.02780360e-04,1.64094023e+01
64,2.95067669e-04,1.64826699e+01
65,2.87655878e-04,1.65532368e+01
66,2.80529160e-04,1.66212318e+01
67,2.73673020e-04,1.66867886e+01
68,2.67073651e-04,1.67500227e+01
69,2.60784554e-04,1.68110497e+01
70,2.54731462e-04,1.68699726e+01
71,2.48894013e-04,1.69268925e+01
72,2.43261943e-04,1.69819013e+01
73,2.37825610e-04,1.70350875e+01
74,2.32575925e-04,1.70865333e+01
75,2.27515843e-04,1.71363170e+01
76,2.22638206e-04,1.71845118e+01
77,2.17921237e-04,1.72311873e+01
78,2.13357825e-04,1.72764090e+01
79,2.08941253e-04,1.73202388e+01
80,2.04665164e-04,1.73627354e+01
81,2.00523574e-04,1.74039544e+01
82,1.96510831e-04,1.74439483e+01
83,1.92621573e-04,1.74827670e+01
84,1.88850682e-04,1.75204578e+01
85,1.85212470e-04,1.75570655e+01
86,1.81700168e-04,1.75926329e+01
87,1.78290313e-04,1.76272003e+01
88,1.74978873e-04,1.76608064e+01
89,1.71762011e-04,1.76934877e+01
90,1.68636088e-04,1.77252791e+01
91,1.65607153e-04,1.77562138e+01
92,1.62664800e-04,1.77863234e+01
93,1.59802668e-04,1.78156382e+01
94,1.57017798e-04,1.78441868e+01
95,1.54307366e-04,1.78719967e+01
96,1.51668681e-04,1.78992529e+01
