rho,z,V_numerical,V_analytical,epsilon
0.00000000,-1.00000000,0.00000000,0.01020224,4.00000000
0.00000000,-0.98750000,0.00002473,0.01030129,4.00000000
0.00000000,-0.97500000,0.00004949,0.01040228,4.00000000
0.00000000,-0.96250000,0.00007431,0.01050528,4.00000000
0.00000000,-0.95000000,0.00009923,0.01061033,4.00000000
0.00000000,-0.93750000,0.00012427,0.01071750,4.00000000
0.00000000,-0.92500000,0.00014947,0.01082687,4.00000000
0.00000000,-0.91250000,0.00017486,0.01093848,4.00000000
0.00000000,-0.90000000,0.00020048,0.01105243,4.00000000
0.00000000,-0.88750000,0.00022634,0.01116877,4.00000000
0.00000000,-0.87500000,0.00025250,0.01128758,4.00000000
0.00000000,-0.86250000,0.00027899,0.01140896,4.00000000
0.00000000,-0.85000000,0.00030583,0.01153297,4.00000000
0.00000000,-0.83750000,0.00033306,0.01165970,4.00000000
0.00000000,-0.82500000,0.00036073,0.01178926,4.00000000
0.00000000,-0.81250000,0.00038886,0.01192172,4.00000000
0.00000000,-0.80000000,0.00041750,0.01205719,4.00000000
0.00000000,-0.78750000,0.00044669,0.01219578,4.00000000
0.00000000,-0.77500000,0.00047646,0.01233759,4.00000000
0.00000000,-0.76250000,0.00050686,0.01248274,4.00000000
0.00000000,-0.75000000,0.00053793,0.01263134,4.00000000
0.00000000,-0.73750000,0.00056972,0.01278353,4.00000000
0.00000000,-0.72500000,0.00060228,0.01293943,4.00000000
0.00000000,-0.71250000,0.00063564,0.01309917,4.00000000
0.00000000,-0.70000000,0.00066986,0.01326291,4.00000000
0.00000000,-0.68750000,0.00070500,0.01343080,4.00000000
0.00000000,-0.67500000,0.00074111,0.01360299,4.00000000
0.00000000,-0.66250000,0.00077825,0.01377965,4.00000000
0.00000000,-0.65000000,0.00081646,0.01396096,4.00000000
0.00000000,-0.63750000,0.00085583,0.01414711,4.00000000
0.00000000,-0.62500000,0.00089641,0.01433828,4.00000000
0.00000000,-0.61250000,0.00093827,0.01453470,4.00000000
0.00000000,-0.60000000,0.00098148,0.01473657,4.00000000
0.00000000,-0.58750000,0.00102613,0.01494413,4.00000000
0.00000000,-0.57500000,0.00107228,0.01515761,4.00000000
0.00000000,-0.56250000,0.00112003,0.01537729,4.00000000
0.00000000,-0.55000000,0.00116946,0.01560343,4.00000000
0.00000000,-0.53750000,0.00122067,0.01583631,4.00000000
0.00000000,-0.52500000,0.00127376,0.01607626,4.00000000
0.00000000,-0.51250000,0.00132883,0.01632358,4.00000000
0.00000000,-0.50000000,0.00138600,0.01657864,4.00000000
0.00000000,-0.48750000,0.00144539,0.01684179,4.00000000
0.00000000,-0.47500000,0.00150713,0.01711343,4.00000000
0.00000000,-0.46250000,0.00157134,0.01739398,4.00000000
0.00000000,-0.45000000,0.00163819,0.01768388,4.00000000
0.00000000,-0.43750000,0.00170782,0.01798361,4.00000000
0.00000000,-0.42500000,0.00178040,0.01829367,4.00000000
0.00000000,-0.41250000,0.00185611,0.01861461,4.00000000
0.00000000,-0.40000000,0.00193515,0.01894702,4.00000000
0.00000000,-0.38750000,0.00201771,0.01929151,4.00000000
0.00000000,-0.37500000,0.00210403,0.01964876,4.00000000
0.00000000,-0.36250000,0.00219435,0.02001949,4.00000000
0.00000000,-0.35000000,0.00228892,0.02040448,4.00000000
0.00000000,-0.33750000,0.00238803,0.02080457,4.00000000
0.00000000,-0.32500000,0.00249199,0.02122066,4.00000000
0.00000000,-0.31250000,0.00260112,0.02165373,4.00000000
0.00000000,-0.30000000,0.00271580,0.02210485,4.00000000
0.00000000,-0.28750000,0.00283641,0.02257517,4.00000000
0.00000000,-0.27500000,0.00296340,0.02306593,4.00000000
0.00000000,-0.26250000,0.00309723,0.02357851,4.00000000
0.00000000,-0.25000000,0.00323843,0.02411439,4.00000000
0.00000000,-0.23750000,0.00338757,0.02467518,4.00000000
0.00000000,-0.22500000,0.00354529,0.02526269,4.00000000
0.00000000,-0.21250000,0.00371229,0.02587885,4.00000000
0.00000000,-0.20000000,0.00388934,0.02652582,4.00000000
0.00000000,-0.18750000,0.00407732,0.02720597,4.00000000
0.00000000,-0.17500000,0.00427719,0.02792192,4.00000000
0.00000000,-0.16250000,0.00449004,0.02867657,4.00000000
0.00000000,-0.15000000,0.00471711,0.02947314,4.00000000
0.00000000,-0.13750000,0.00495976,0.03031523,4.00000000
0.00000000,-0.12500000,0.00521960,0.03120685,4.00000000
0.00000000,-0.11250000,0.00549845,0.03215251,4.00000000
0.00000000,-0.10000000,0.00579844,0.03315728,4.00000000
0.00000000,-0.08750000,0.00612211,0.03422687,4.00000000
0.00000000,-0.07500000,0.00647262,0.03536777,4.00000000
0.00000000,-0.06250000,0.00685428,0.03658734,4.00000000
0.00000000,-0.05000000,0.00727416,0.03789403,4.00000000
0.00000000,-0.03750000,0.00774884,0.03929752,4.00000000
0.00000000,-0.02500000,0.00833720,0.04080896,4.00000000
0.00000000,-0.01250000,0.00931735,0.04244132,4.00000000
0.00000000,0.00000000,0.01220181,0.08841941,2.00000000
0.00000000,0.01250000,0.01111005,0.09595428,2.00000000
0.00000000,0.02500000,0.01194687,0.10387735,2.00000000
0.00000000,0.03750000,0.01322507,0.11227862,2.00000000
0.00000000,0.05000000,0.01469392,0.12126091,2.00000000
0.00000000,0.06250000,0.01632527,0.13094418,2.00000000
0.00000000,0.07500000,0.01813825,0.14147106,2.00000000
0.00000000,0.08750000,0.02016850,0.15301424,2.00000000
0.00000000,0.10000000,0.02246425,0.16578640,2.00000000
0.00000000,0.11250000,0.02508867,0.18005408,2.00000000
0.00000000,0.12500000,0.02812506,0.19615735,2.00000000
0.00000000,0.13750000,0.03168531,0.21453853,2.00000000
0.00000000,0.15000000,0.03592308,0.23578510,2.00000000
0.00000000,0.16250000,0.04105521,0.26069606,2.00000000
0.00000000,0.17500000,0.04739749,0.29038797,2.00000000
0.00000000,0.18750000,0.05542766,0.32647168,2.00000000
0.00000000,0.20000000,0.06590325,0.37136153,2.00000000
0.00000000,0.21250000,0.08010056,0.42884956,2.00000000
0.00000000,0.22500000,0.10034838,0.50525379,2.00000000
0.00000000,0.23750000,0.13128286,0.61194459,2.00000000
0.00000000,0.25000000,0.18224402,0.77166033,2.00000000
0.00000000,0.26250000,0.26795770,1.03745444,2.00000000
0.00000000,0.27500000,0.39503941,1.56848350,2.00000000
0.00000000,0.28750000,0.52854108,3.16052369,2.00000000
0.00000000,0.30000000,0.58866502,397887357.70763350,2.00000000
0.00000000,0.31250000,0.52862753,3.16144513,2.00000000
0.00000000,0.32500000,0.39521267,1.57032877,2.00000000
0.00000000,0.33750000,0.26821848,1.04022839,2.00000000
0.00000000,0.35000000,0.18259339,0.77537024,2.00000000
0.00000000,0.36250000,0.13172228,0.61660028,2.00000000
0.00000000,0.37500000,0.10087969,0.51086772,2.00000000
0.00000000,0.38750000,0.08072601,0.43543690,2.00000000
0.00000000,0.40000000,0.06662553,0.37894034,2.00000000
0.00000000,0.41250000,0.05624990,0.33506304,2.00000000
0.00000000,0.42500000,0.04832333,0.30001621,2.00000000
0.00000000,0.43750000,0.04208881,0.27138901,2.00000000
0.00000000,0.45000000,0.03706916,0.24757436,2.00000000
0.00000000,0.46250000,0.03294923,0.22745978,2.00000000
0.00000000,0.47500000,0.02951284,0.21025077,2.00000000
0.00000000,0.48750000,0.02660702,0.19536480,2.00000000
0.00000000,0.50000000,0.02412064,0.18236504,2.00000000
0.00000000,0.51250000,0.02197109,0.17091753,2.00000000
0.00000000,0.52500000,0.02009578,0.16076257,2.00000000
0.00000000,0.53750000,0.01844645,0.15169521,2.00000000
0.00000000,0.55000000,0.01698532,0.14355152,2.00000000
0.00000000,0.56250000,0.01568242,0.13619885,2.00000000
0.00000000,0.57500000,0.01451367,0.12952870,2.00000000
0.00000000,0.58750000,0.01345954,0.12345148,2.00000000
0.00000000,0.60000000,0.01250400,0.11789255,2.00000000
0.00000000,0.61250000,0.01163379,0.11278926,2.00000000
0.00000000,0.62500000,0.01083786,0.10808860,2.00000000
0.00000000,0.63750000,0.01010690,0.10374544,2.00000000
0.00000000,0.65000000,0.00943304,0.09972114,2.00000000
0.00000000,0.66250000,0.00880957,0.09598238,2.00000000
0.00000000,0.67500000,0.00823074,0.09250031,2.00000000
0.00000000,0.68750000,0.00769157,0.08924981,2.00000000
0.00000000,0.70000000,0.00718777,0.08620893,2.00000000
0.00000000,0.71250000,0.00671558,0.08335837,2.00000000
0.00000000,0.72500000,0.00627170,0.08068113,2.00000000
0.00000000,0.73750000,0.00585325,0.07816215,2.00000000
0.00000000,0.75000000,0.00545765,0.07578807,2.00000000
0.00000000,0.76250000,0.00508263,0.07354696,2.00000000
0.00000000,0.77500000,0.00472615,0.07142817,2.00000000
0.00000000,0.78750000,0.00438639,0.06942214,2.00000000
0.00000000,0.80000000,0.00406171,0.06752028,2.00000000
0.00000000,0.81250000,0.00375062,0.06571484,2.00000000
0.00000000,0.82500000,0.00345177,0.06399881,2.00000000
0.00000000,0.83750000,0.00316392,0.06236585,2.00000000
0.00000000,0.85000000,0.00288595,0.06081019,2.00000000
0.00000000,0.86250000,0.00261681,0.05932657,2.00000000
0.00000000,0.87500000,0.00235554,0.05791022,2.00000000
0.00000000,0.88750000,0.00210122,0.05655674,2.00000000
0.00000000,0.90000000,0.00185304,0.05526213,2.00000000
0.00000000,0.91250000,0.00161018,0.05402272,2.00000000
0.00000000,0.92500000,0.00137189,0.05283511,2.00000000
0.00000000,0.93750000,0.00113747,0.05169620,2.00000000
0.00000000,0.95000000,0.00090623,0.05060311,2.00000000
0.00000000,0.96250000,0.00067750,0.04955319,2.00000000
0.00000000,0.97500000,0.00045063,0.04854399,2.00000000
0.00000000,0.98750000,0.00022501,0.04757323,2.00000000
0.00000000,1.00000000,0.00000000,0.04663881,2.00000000
0.01250000,-1.00000000,0.00000000,0.01020177,4.00000000
0.01250000,-0.98750000,0.00004944,0.01030081,4.00000000
0.01250000,-0.97500000,0.00009895,0.01040178,4.00000000
0.01250000,-0.96250000,0.00014858,0.01050476,4.00000000
0.01250000,-0.95000000,0.00019839,0.01060980,4.00000000
0.01250000,-0.93750000,0.00024846,0.01071696,4.00000000
0.01250000,-0.92500000,0.00029885,0.01082630,4.00000000
0.01250000,-0.91250000,0.00034961,0.01093790,4.00000000
0.01250000,-0.90000000,0.00040082,0.01105183,4.00000000
0.01250000,-0.88750000,0.00045255,0.01116815,4.00000000
0.01250000,-0.87500000,0.00050485,0.01128695,4.00000000
0.01250000,-0.86250000,0.00055779,0.01140830,4.00000000
0.01250000,-0.85000000,0.00061146,0.01153229,4.00000000
0.01250000,-0.83750000,0.00066591,0.01165900,4.00000000
0.01250000,-0.82500000,0.00072122,0.01178853,4.00000000
0.01250000,-0.81250000,0.00077747,0.01192097,4.00000000
0.01250000,-0.80000000,0.00083473,0.01205641,4.00000000
0.01250000,-0.78750000,0.00089308,0.01219498,4.00000000
0.01250000,-0.77500000,0.00095261,0.01233676,4.00000000
0.01250000,-0.76250000,0.00101339,0.01248188,4.00000000
0.01250000,-0.75000000,0.00107551,0.01263045,4.00000000
0.01250000,-0.73750000,0.00113906,0.01278260,4.00000000
0.01250000,-0.72500000,0.00120414,0.01293846,4.00000000
0.01250000,-0.71250000,0.00127085,0.01309817,4.00000000
0.01250000,-0.70000000,0.00133927,0.01326188,4.00000000
0.01250000,-0.68750000,0.00140952,0.01342972,4.00000000
0.01250000,-0.67500000,0.00148171,0.01360187,4.00000000
0.01250000,-0.66250000,0.00155595,0.01377849,4.00000000
0.01250000,-0.65000000,0.00163236,0.01395975,4.00000000
0.01250000,-0.63750000,0.00171106,0.01414585,4.00000000
0.01250000,-0.62500000,0.00179218,0.01433697,4.00000000
0.01250000,-0.61250000,0.00187586,0.01453333,4.00000000
0.01250000,-0.60000000,0.00196225,0.01473515,4.00000000
0.01250000,-0.58750000,0.00205150,0.01494264,4.00000000
0.01250000,-0.57500000,0.00214377,0.01515607,4.00000000
0.01250000,-0.56250000,0.00223922,0.01537567,4.00000000
0.01250000,-0.55000000,0.00233803,0.01560174,4.00000000
0.01250000,-0.53750000,0.00244040,0.01583455,4.00000000
0.01250000,-0.52500000,0.00254653,0.01607441,4.00000000
0.01250000,-0.51250000,0.00265662,0.01632165,4.00000000
0.01250000,-0.50000000,0.00277090,0.01657662,4.00000000
0.01250000,-0.48750000,0.00288961,0.01683967,4.00000000
0.01250000,-0.47500000,0.00301301,0.01711121,4.00000000
0.01250000,-0.46250000,0.00314137,0.01739165,4.00000000
0.01250000,-0.45000000,0.00327498,0.01768143,4.00000000
0.01250000,-0.43750000,0.00341416,0.01798103,4.00000000
0.01250000,-0.42500000,0.00355923,0.01829095,4.00000000
0.01250000,-0.41250000,0.00371056,0.01861175,4.00000000
0.01250000,-0.40000000,0.00386853,0.01894400,4.00000000
0.01250000,-0.38750000,0.00403355,0.01928832,4.00000000
0.01250000,-0.37500000,0.00420606,0.01964539,4.00000000
0.01250000,-0.36250000,0.00438657,0.02001593,4.00000000
0.01250000,-0.35000000,0.00457557,0.02040071,4.00000000
0.01250000,-0.33750000,0.00477364,0.02080057,4.00000000
0.01250000,-0.32500000,0.00498138,0.02121642,4.00000000
0.01250000,-0.31250000,0.00519947,0.02164923,4.00000000
0.01250000,-0.30000000,0.00542863,0.02210006,4.00000000
0.01250000,-0.28750000,0.00566964,0.02257006,4.00000000
0.01250000,-0.27500000,0.00592338,0.02306049,4.00000000
0.01250000,-0.26250000,0.00619078,0.02357269,4.00000000
