z,V_numerical,V_analytical
-1.00000000,0.00000000,0.01020224
-0.98750000,0.00002473,0.01030129
-0.97500000,0.00004949,0.01040228
-0.96250000,0.00007431,0.01050528
-0.95000000,0.00009923,0.01061033
-0.93750000,0.00012427,0.01071750
-0.92500000,0.00014947,0.01082687
-0.91250000,0.00017486,0.01093848
-0.90000000,0.00020048,0.01105243
-0.88750000,0.00022634,0.01116877
-0.87500000,0.00025250,0.01128758
-0.86250000,0.00027899,0.01140896
-0.85000000,0.00030583,0.01153297
-0.83750000,0.00033306,0.01165970
-0.82500000,0.00036073,0.01178926
-0.81250000,0.00038886,0.01192172
-0.80000000,0.00041750,0.01205719
-0.78750000,0.00044669,0.01219578
-0.77500000,0.00047646,0.01233759
-0.76250000,0.00050686,0.01248274
-0.75000000,0.00053793,0.01263134
-0.73750000,0.00056972,0.01278353
-0.72500000,0.00060228,0.01293943
-0.71250000,0.00063564,0.01309917
-0.70000000,0.00066986,0.01326291
-0.68750000,0.00070500,0.01343080
-0.67500000,0.00074111,0.01360299
-0.66250000,0.00077825,0.01377965
-0.65000000,0.00081646,0.01396096
-0.63750000,0.00085583,0.01414711
-0.62500000,0.00089641,0.01433828
-0.61250000,0.00093827,0.01453470
-0.60000000,0.00098148,0.01473657
-0.58750000,0.00102613,0.01494413
-0.57500000,0.00107228,0.01515761
-0.56250000,0.00112003,0.01537729
-0.55000000,0.00116946,0.01560343
-0.53750000,0.00122067,0.01583631
-0.52500000,0.00127376,0.01607626
-0.51250000,0.00132883,0.01632358
-0.50000000,0.00138600,0.01657864
-0.48750000,0.00144539,0.01684179
-0.47500000,0.00150713,0.01711343
-0.46250000,0.00157134,0.01739398
-0.45000000,0.00163819,0.01768388
-0.43750000,0.00170782,0.01798361
-0.42500000,0.00178040,0.01829367
-0.41250000,0.00185611,0.01861461
-0.40000000,0.00193515,0.01894702
-0.38750000,0.00201771,0.01929151
-0.37500000,0.00210403,0.01964876
-0.36250000,0.00219435,0.02001949
-0.35000000,0.00228892,0.02040448
-0.33750000,0.00238803,0.02080457
-0.32500000,0.00249199,0.02122066
-0.31250000,0.00260112,0.02165373
-0.30000000,0.00271580,0.02210485
-0.28750000,0.00283641,0.02257517
-0.27500000,0.00296340,0.02306593
-0.26250000,0.00309723,0.02357851
-0.25000000,0.00323843,0.02411439
-0.23750000,0.00338757,0.02467518
-0.22500000,0.00354529,0.02526269
-0.21250000,0.00371229,0.02587885
-0.20000000,0.00388934,0.02652582
-0.18750000,0.00407732,0.02720597
-0.17500000,0.00427719,0.02792192
-0.16250000,0.00449004,0.02867657
-0.15000000,0.00471711,0.02947314
-0.13750000,0.00495976,0.03031523
-0.12500000,0.00521960,0.03120685
-0.11250000,0.00549845,0.03215251
-0.10000000,0.00579844,0.03315728
-0.08750000,0.00612211,0.03422687
-0.07500000,0.00647262,0.03536777
-0.06250000,0.00685428,0.03658734
-0.05000000,0.00727416,0.03789403
-0.03750000,0.00774884,0.03929752
-0.02500000,0.00833720,0.04080896
-0.01250000,0.00931735,0.04244132
0.00000000,0.01220181,0.08841941
0.01250000,0.01111005,0.09595428
0.02500000,0.01194687,0.10387735
0.03750000,0.01322507,0.11227862
0.05000000,0.01469392,0.12126091
0.06250000,0.01632527,0.13094418
0.07500000,0.01813825,0.14147106
0.08750000,0.02016850,0.15301424
0.10000000,0.02246425,0.16578640
0.11250000,0.02508867,0.18005408
0.12500000,0.02812506,0.19615735
0.13750000,0.03168531,0.21453853
0.15000000,0.03592308,0.23578510
0.16250000,0.04105521,0.26069606
0.17500000,0.04739749,0.29038797
0.18750000,0.05542766,0.32647168
0.20000000,0.06590325,0.37136153
0.21250000,0.08010056,0.42884956
0.22500000,0.10034838,0.50525379
0.23750000,0.13128286,0.61194459
0.25000000,0.18224402,0.77166033
0.26250000,0.26795770,1.03745444
0.27500000,0.39503941,1.56848350
0.28750000,0.52854108,3.16052369
0.30000000,0.58866502,397887357.70763350
0.31250000,0.52862753,3.16144513
0.32500000,0.39521267,1.57032877
0.33750000,0.26821848,1.04022839
0.35000000,0.18259339,0.77537024
0.36250000,0.13172228,0.61660028
0.37500000,0.10087969,0.51086772
0.38750000,0.08072601,0.43543690
0.40000000,0.06662553,0.37894034
0.41250000,0.05624990,0.33506304
0.42500000,0.04832333,0.30001621
0.43750000,0.04208881,0.27138901
0.45000000,0.03706916,0.24757436
0.46250000,0.03294923,0.22745978
0.47500000,0.02951284,0.21025077
0.48750000,0.02660702,0.19536480
0.50000000,0.02412064,0.18236504
0.51250000,0.02197109,0.17091753
0.52500000,0.02009578,0.16076257
0.53750000,0.01844645,0.15169521
0.55000000,0.01698532,0.14355152
0.56250000,0.01568242,0.13619885
0.57500000,0.01451367,0.12952870
0.58750000,0.01345954,0.12345148
0.60000000,0.01250400,0.11789255
0.61250000,0.01163379,0.11278926
0.62500000,0.01083786,0.10808860
0.63750000,0.01010690,0.10374544
0.65000000,0.00943304,0.09972114
0.66250000,0.00880957,0.09598238
0.67500000,0.00823074,0.09250031
0.68750000,0.00769157,0.08924981
0.70000000,0.00718777,0.08620893
0.71250000,0.00671558,0.08335837
0.72500000,0.00627170,0.08068113
0.73750000,0.00585325,0.07816215
0.75000000,0.00545765,0.07578807
0.76250000,0.00508263,0.07354696
0.77500000,0.00472615,0.07142817
0.78750000,0.00438639,0.06942214
0.80000000,0.00406171,0.06752028
0.81250000,0.00375062,0.06571484
0.82500000,0.00345177,0.06399881
0.83750000,0.00316392,0.06236585
0.85000000,0.00288595,0.06081019
0.86250000,0.00261681,0.05932657
0.87500000,0.00235554,0.05791022
0.88750000,0.00210122,0.05655674
0.90000000,0.00185304,0.05526213
0.91250000,0.00161018,0.05402272
0.92500000,0.00137189,0.05283511
0.93750000,0.00113747,0.05169620
0.95000000,0.00090623,0.05060311
0.96250000,0.00067750,0.04955319
0.97500000,0.00045063,0.04854399
0.98750000,0.00022501,0.04757323
1.00000000,0.00000000,0.04663881
